Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
393 224-1,Styx,Pieces Of Eight,A&M Records,"LP, Album, RE",,1988,2788643,Uncategorized,2023-01-09 05:42:48,,,
395 218-1,38 Special (2),Rock & Roll Strategy,A&M Records,"LP, Album",,1988,1808895,Uncategorized,2023-03-11 03:34:52,,,
397 164-1,Bryan Adams,Waking Up The Neighbours,A&M Records,"2xLP, Album",,1991,4583743,Uncategorized,2023-10-17 08:29:51,,,
AMLH 64888,38 Special (2),Special Forces,A&M Records,"LP, Album",,1982,2921344,Uncategorized,2023-03-11 15:58:37,,,
AMLX 65013,Bryan Adams,Reckless,A&M Records,"LP, Album",,1984,1451593,Uncategorized,2023-03-11 15:59:46,,,
SP-4971,38 Special (2),Tour De Force,A&M Records,"LP, Album, Ind",,1983,1349851,Uncategorized,2023-03-11 15:58:25,,,
"SP 5115, SP-5115",38 Special (2),Strength In Numbers,"A&M Records, A&M Records","LP, Album, All",,1986,1312347,Uncategorized,2023-03-11 15:58:48,,,
"SP-4782, SP4782",38 Special (2),Rockin' Into The Night,"A&M Records, A&M Records","LP, Album, San",,1979,1458610,Uncategorized,2023-07-17 09:03:43,,,
25 880 XST,Various,Hitstation Super 20 International,Ariola,"LP, Comp",,1978,692643,Uncategorized,2023-01-09 05:24:15,,,
ATL 50 651,Foreigner,Head Games,Atlantic,"LP, Album",,1979,435184,Uncategorized,2023-01-07 10:21:56,,,
SD 19999,Foreigner,Double Vision,Atlantic,"LP, Album, Club",,1978,10016579,Uncategorized,2023-03-11 03:37:13,,,
WEA 99 143,Phil Collins,Face Value,Atlantic,"LP, Album, Gat",,1981,1547459,Uncategorized,2024-05-17 08:48:11,,,
"A1-81999, 81999-1-E",Foreigner,Agent Provocateur,"Atlantic, Atlantic","LP, Album, Club, Car",,1984,5237068,Uncategorized,2024-05-10 07:56:34,,,
"ATL 50 356, SD 18 215",Foreigner,Foreigner,"Atlantic, Atlantic","LP, Album",,1977,6944481,Uncategorized,2023-03-11 03:33:02,,,
"ATL 50 735, SD 16018",AC/DC,Back In Black,"Atlantic, Atlantic","LP, Album",,1980,14565632,Uncategorized,2024-01-28 06:19:07,,,
"ATL 50 796, ATL 50796, SD 16999",Foreigner,4,"Atlantic, Atlantic, Atlantic","LP, Album",,1981,2376107,Uncategorized,2023-01-18 06:52:39,,,
260.07.067,Night Ranger,Midnight Madness,Bellaphon,"LP, Album",,1984,3464227,Uncategorized,2023-07-27 06:04:06,,,
BLCKND005R-1 00602557382594,Metallica,Master Of Puppets,Blackened Recordings,"LP, Album, RP",,0,11789148,Uncategorized,2023-10-17 08:28:09,,,
"HYSLP 1, 830 675-1",Def Leppard,Hysteria,"Bludgeon Riffola, Phonogram","LP, Album",,1987,6178715,Uncategorized,2023-01-09 05:31:33,,,
24 0611 1,Tina Turner,Break Every Rule,Capitol Records,"LP, Album, DMM",,1986,9821652,Uncategorized,2023-12-05 11:37:44,,,
5C 062-85027,Bob Seger And The Silver Bullet Band,Night Moves,Capitol Records,"LP, Album",,1976,13372130,Uncategorized,2023-03-17 10:45:34,,,
"1C 064-85 333, 1 C 064-85 333",Bob Seger And The Silver Bullet Band,Stranger In Town,"Capitol Records, HÖR ZU, EMI Electrola, Capitol Records, HÖR ZU, EMI Electrola","LP, Album",,1978,1646444,Uncategorized,2023-07-27 06:03:46,,,
NBLP-7209,Tony Orlando,Livin' For The Music,Casablanca,"LP, Album",,1980,3554105,Uncategorized,2023-01-19 07:22:11,Very Good (VG),Very Good Plus (VG+),
466686 1,New Kids On The Block,Step By Step,CBS,"LP, Album",,1990,492688,Uncategorized,2024-08-03 05:05:04,,,
CBS 450449 1,Men At Work,Business As Usual,CBS,"LP, Album, RE",,0,2516187,Uncategorized,2023-01-09 05:14:53,,,
CBS 460645 1,Toto,The Seventh One,CBS,"LP, Album",,1988,2369397,Uncategorized,2023-01-09 05:21:36,,,
CBS 463087 1,Toto,Fahrenheit,CBS,"LP, Album, RE",,1988,1271682,Uncategorized,2023-01-09 05:36:16,,,
CBS 83900,Toto,Hydra,CBS,"LP, Album, Gat",,1979,13779323,Uncategorized,2023-03-17 10:48:22,,,
"CBS 1986, 07-001986-20",Various,Danke '86,"CBS, CBS","LP, Comp, Ltd, Num",,1986,2547139,Uncategorized,2023-03-21 06:09:33,,,
"CBS 26594, 26594",The Outfield,Play Deep,"CBS, CBS","LP, Album",,1985,567956,Uncategorized,2023-01-07 10:21:50,,,
"CBS 85529, 85529",Toto,Toto IV,"CBS, CBS","LP, Album",,1982,386005,Uncategorized,2023-01-18 06:52:53,,,
"CBS 86304, 86304",Bruce Springsteen,Born In The U.S.A.,"CBS, CBS","LP, Album, RE, Red",,1985,385598,Uncategorized,2023-01-09 05:14:23,,,
"CBS CX 85402, CX 85402",Loverboy,Get Lucky,"CBS, CBS","LP, Album, Red",,1981,10970236,Uncategorized,2023-03-11 15:59:23,,,
